state,district,election_year,cand_fname,cand_lname,vote_percent_primary,vote_percent_general,winner_primary,winner_general,ran_primary,ran_general,primary_contested,general_contested,primary_contested_reconciled,general_contested_reconciled,uncontested_prim_final,uncontested_gen_final,election_unique_identifier,candidate_unique_identifier,abb,district_unique_identifier,counties_total,city_election_outliers,year_state_district_unique_identifier,cand_gender,incum_chall,party,vote_count_general,vote_count_primary
Missouri,Gentry,2018,Jessica,Jones,100,99.72,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-gentry-2018-jones,mo-jones-jessica,MO,mo-gentry,Gentry,NA,2018-mo-gentry,NA,**,REP,2151,799
Missouri,Grundy,2018,Carrie,Lamm-Clark,100,100,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-grundy-2018-lamm-clark,mo-lamm-clark-carrie,MO,mo-grundy,Grundy,NA,2018-mo-grundy,NA,O,REP,3221,1581
Missouri,Harrison,2018,Jonathan,Meyer,100,99.3,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-harrison-2018-meyer,mo-meyer-jonathan,MO,mo-harrison,Harrison,NA,2018-mo-harrison,NA,**,REP,2564,1385
Missouri,Henry,2018,Zachariah,Maggi,38.87,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,mo-henry-2018-maggi,mo-maggi-zachariah,MO,mo-henry,Henry,NA,2018-mo-henry,NA,O,REP,NA,1768
Missouri,Hickory,2018,Michael,Brown,100,99.21,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-hickory-2018-brown,mo-brown-michael,MO,mo-hickory,Hickory,NA,2018-mo-hickory,NA,**,REP,3371,1645
Missouri,Howard,2018,Deborah,Riehof,100,98.05,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-howard-2018-riekhof,mo-riekhof-deborah,MO,mo-howard,Howard,NA,2018-mo-howard,NA,**,REP,3261,1282
Missouri,Jefferson,2018,Trisha,Stefanski,56.86,59.88,W,W,Y,Y,contested,contested,contested,contested,0,0,mo-jefferson-2018-stefanski,mo-stefanski-trisha,MO,mo-jefferson,Jefferson,NA,2018-mo-jefferson,NA,**,REP,51821,15204
Missouri,Lawrence,2018,Don,Trotter,100,98.4,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-lawrence-2018-trotter,mo-trotter-don,MO,mo-lawrence,Lawrence,NA,2018-mo-lawrence,NA,I,REP,11818,4714
Missouri,Lincoln,2018,Leah,Wommack Chaney,26.14,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,mo-lincoln-2018-wommack-chaney,mo-wommack-chaney-leah,MO,mo-lincoln,Lincoln,NA,2018-mo-lincoln,NA,I,REP,NA,2772
Missouri,Lincoln,2018,Michael,Wood,73.86,97.9,W,W,Y,Y,contested,uncontested,contested,uncontested,0,1,mo-lincoln-2018-wood,mo-wood-michael,MO,mo-lincoln,Lincoln,NA,2018-mo-lincoln,NA,C,REP,17538,7833
Missouri,Madison,2018,M.,Robbins,100,98.29,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-madison-2018-robbins,mo-robbins-m,MO,mo-madison,Madison,NA,2018-mo-madison,NA,**,REP,461,1363
Missouri,Miller,2018,Ronnie,Winfrey,64.44,100,W,W,Y,Y,contested,uncontested,contested,uncontested,0,1,mo-miller-2018-winfrey,mo-winfrey-ronnie,MO,mo-miller,Miller,NA,2018-mo-miller,NA,**,REP,8278,2986
Missouri,Moniteau,2018,Shayne,Healea,100,NA,W,NA,Y,N,uncontested,other,uncontested,did_not_run,1,0,mo-moniteau-2018-healea,mo-healea-shayne,MO,mo-moniteau,Moniteau,NA,2018-mo-moniteau,NA,I,REP,NA,2686
Missouri,Moniteau,2018,Mary Kay,Lutz,NA,84.82,NA,W,N,Y,other,uncontested,did_not_run,uncontested,0,1,mo-moniteau-2018-lutz,mo-lutz-mary-kay,MO,mo-moniteau,Moniteau,NA,2018-mo-moniteau,NA,C,REP,4575,NA
Missouri,Montgomery,2018,Nathan,Carroz,75.36,98.51,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-montgomery-2018-carroz,mo-carroz-nathan,MO,mo-montgomery,Montgomery,NA,2018-mo-montgomery,NA,**,REP,4034,104
Missouri,Oregon,2018,Justin,Kelley,100,66.41,W,W,Y,Y,uncontested,contested,uncontested,contested,1,0,mo-oregon-2018-kelley,mo-kelley-justin,MO,mo-oregon,Oregon,NA,2018-mo-oregon,NA,C,REP,2454,1210
Missouri,Oregon,2018,Justin,Nelson,100,33.56,W,L,Y,Y,uncontested,contested,uncontested,contested,1,0,mo-oregon-2018-nelson,mo-nelson-justin,MO,mo-oregon,Oregon,NA,2018-mo-oregon,NA,I,DEM,1240,427
Missouri,Pemiscot,2018,Jereme,Lytle,100,97.32,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-pemiscot-2018-lytle,mo-lytle-jereme,MO,mo-pemiscot,Pemiscot,NA,2018-mo-pemiscot,NA,**,DEM,3310,1043
Missouri,Perry,2018,Caitlin,Pistorio,100,99.17,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-perry-2018-hoeh-pistorio,mo-hoeh-pistorio-caitlin,MO,mo-perry,Perry,NA,2018-mo-perry,NA,O,REP,5735,2866
Missouri,Polk,2018,Ken,Ashlock,100,98.76,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-polk-2018-ashlock,mo-ashlock-ken,MO,mo-polk,Polk,NA,2018-mo-polk,NA,I,REP,10325,4253
Missouri,Putnam,2018,Thomas,Keedy,NA,98.9,NA,W,N,Y,other,uncontested,did_not_run,uncontested,0,1,mo-putnam-2018-keedy,mo-keedy-thomas,MO,mo-putnam,Putnam,NA,2018-mo-putnam,NA,O,OTHER,1528,NA
Missouri,Randolph,2018,Luntsford,Stephanie,100,98.59,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-randolph-2018-stephanie,mo-stephanie-luntsford,MO,mo-randolph,Randolph,NA,2018-mo-randolph,NA,O,REP,7784,2895
Missouri,Shannon,2018,Jodie,Brumble,100,94.63,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-shannon-2018-brumble,mo-brumble-jodie,MO,mo-shannon,Shannon,NA,2018-mo-shannon,NA,I,DEM,1850,596
Missouri,Shelby,2018,Jordan,Force,100,99.03,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-shelby-2018-force,mo-force-jordan,MO,mo-shelby,Shelby,NA,2018-mo-shelby,NA,**,DEM,2139,642
Missouri,Ste. Genevieve,2018,Wayne,Williams,100,98.46,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-ste-genevieve-2018-williams,mo-williams-wayne,MO,mo-ste-genevieve,Ste. Genevieve,NA,2018-mo-ste-genevieve,NA,**,DEM,4994,2288
Missouri,Taney,2018,Daniel,Scrivner,19.26,NA,L,NA,Y,N,contested,other,contested,did_not_run,0,0,mo-taney-2018-scrivner,mo-scrivner-daniel,MO,mo-taney,Taney,NA,2018-mo-taney,NA,**,REP,NA,1645
Missouri,Texas,2018,Parke,Stevens,100,98.86,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-texas-2018-stevens-jr,mo-stevens-jr-parke,MO,mo-texas,Texas,NA,2018-mo-texas,NA,**,REP,7648,3420
Missouri,Vernon,2018,Brandi,McInroy,100,98.45,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-vernon-2018-mcinroy,mo-mcinroy-brandi,MO,mo-vernon,Vernon,NA,2018-mo-vernon,NA,**,REP,6409,2023
Missouri,Warren,2018,Kelly,King,100,97.54,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,mo-warren-2018-king,mo-king-kelly,MO,mo-warren,Warren,NA,2018-mo-warren,NA,**,REP,11016,5522
Montana,Golden Valley - Musselshell,2018,Kevin,Peterson,100,52.71,W,W,Y,Y,NA,NA,uncontested,contested,1,0,NA,NA,NA,NA,NA,NA,NA,M,I,REP,1458,1225
Montana,Golden Valley - Musselshell,2018,Robert,Spoja,NA,47.29,W,L,SKIP,Y,NA,NA,unknown,contested,NA,0,NA,NA,NA,NA,NA,NA,NA,M,C,OTHER,1308,NA
Montana,Wibaux,2018,Ronald,Efta,NA,100,W,W,SKIP,Y,uncontested,uncontested,uncontested,uncontested,1,1,mt-wibaux-2018-efta,mt-efta-ronald,MT,mt-wibaux,Wibaux,NA,2018-mt-wibaux,M,I,DEM,112,NA
Nebraska,Box Butte,2018,Terry,Curtiss,NA,58.91,W,W,SKIP,Y,uncontested,uncontested,uncontested,uncontested,1,1,ne-box-butte-2018-curtiss,ne-curtiss-terry,NE,ne-box-butte,Box Butte,NA,2018-ne-box-butte,M,O,REP,261,NA
Nebraska,Cheyenne,2018,Paul,Shaw,NA,100,W,W,SKIP,Y,uncontested,uncontested,uncontested,uncontested,1,1,ne-cheyenne-2018-schaub,ne-schaub-paul,NE,ne-cheyenne,Cheyenne,NA,2018-ne-cheyenne,NA,I,REP,2717,NA
Nebraska,Dodge,NA,Oliver,Glass,NA,67.77,W,W,SKIP,Y,NA,NA,unknown,contested,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,I,REP,7930,NA
Nebraska,Hall,2018,Martin,Klein,NA,98.06,W,W,SKIP,Y,uncontested,uncontested,uncontested,uncontested,1,1,ne-hall-2018-klein,ne-klein-martin,NE,ne-hall,Hall,NA,2018-ne-hall,NA,O,REP,12906,NA
Nebraska,Holt,2018,Brent,Kelly,NA,100,W,W,SKIP,Y,uncontested,uncontested,uncontested,uncontested,1,1,ne-holt-2018-kelly,ne-kelly-brent,NE,ne-holt,Holt,NA,2018-ne-holt,NA,I,REP,3588,NA
Nebraska,Jefferson,2018,Joseph,Casson,NA,99.31,W,W,SKIP,Y,uncontested,uncontested,uncontested,uncontested,1,1,ne-jefferson-2018-casson,ne-casson-joseph,NE,ne-jefferson,Jefferson,NA,2018-ne-jefferson,NA,I,REP,2437,NA
